ISTAT,Provincia,Comune,N°alimentari,N°non alimentari,N°Misti,N° TOT,Sup. alimentari,Sup.non alimentari,Sup.misti,Sup. TOT,Anno
12001,VA,Agra,0,0,2,2,0.00,0.00,98.00,98.00,2005
12001,VA,Agra,0,0,2,2,0.00,0.00,98.00,98.00,2006
12001,VA,Agra,0,0,2,2,0.00,0.00,98.00,98.00,2007
12001,VA,Agra,0,0,2,2,0.00,0.00,98.00,98.00,2008
12001,VA,Agra,0,0,2,2,0.00,0.00,98.00,98.00,2009
12001,VA,Agra,0,0,2,2,0.00,0.00,98.00,98.00,2010
12001,VA,Agra,0,0,2,2,0.00,0.00,98.00,98.00,2011
12001,VA,Agra,0,0,2,2,0.00,0.00,98.00,98.00,2012
12001,VA,Agra,0,0,2,2,0.00,0.00,98.00,98.00,2013
12001,VA,Agra,0,0,2,2,0.00,0.00,98.00,98.00,2014
12001,VA,Agra,0,0,2,2,0.00,0.00,98.00,98.00,2015
12001,VA,Agra,0,0,2,2,0.00,0.00,98.00,98.00,2016
12001,VA,Agra,0,0,2,2,0.00,0.00,98.00,98.00,2017
12001,VA,Agra,0,0,2,2,0.00,0.00,98.00,98.00,2018
12001,VA,Agra,0,0,2,2,0.00,0.00,98.00,98.00,2019
12001,VA,Agra,0,0,3,3,0.00,0.00,138.00,138.00,2020
12001,VA,Agra,0,0,1,1,0.00,0.00,40.00,40.00,2021
12001,VA,Agra,0,0,1,1,0.00,0.00,40.00,40.00,2022
12001,VA,Agra,0,0,1,1,0.00,0.00,40.00,40.00,2023
12002,VA,Albizzate,11,23,0,34,599.00,879.00,0.00,1478.00,2005
12002,VA,Albizzate,11,23,0,34,599.00,879.00,0.00,1478.00,2006
12002,VA,Albizzate,11,23,0,34,599.00,879.00,0.00,1478.00,2007
12002,VA,Albizzate,11,24,0,35,599.00,1009.00,0.00,1608.00,2008
12002,VA,Albizzate,11,23,0,34,599.00,970.00,0.00,1569.00,2009
12002,VA,Albizzate,13,22,0,35,599.00,940.00,0.00,1539.00,2010
12002,VA,Albizzate,12,21,0,33,569.00,920.00,0.00,1489.00,2011
12002,VA,Albizzate,11,20,0,31,544.00,900.00,0.00,1444.00,2012
12002,VA,Albizzate,10,18,0,28,489.00,842.00,0.00,1331.00,2013
12002,VA,Albizzate,10,18,0,28,489.00,842.00,0.00,1331.00,2014
12002,VA,Albizzate,10,18,0,28,489.00,842.00,0.00,1331.00,2015
12002,VA,Albizzate,5,16,0,21,238.00,842.00,0.00,1080.00,2016
12002,VA,Albizzate,5,16,0,21,238.00,842.00,0.00,1080.00,2017
12002,VA,Albizzate,5,16,0,21,238.00,842.00,0.00,1080.00,2018
12002,VA,Albizzate,5,16,0,21,238.00,842.00,0.00,1080.00,2019
12002,VA,Albizzate,5,16,0,21,238.00,842.00,0.00,1080.00,2020
12002,VA,Albizzate,5,16,0,21,238.00,842.00,0.00,1080.00,2021
12002,VA,Albizzate,5,16,0,21,238.00,842.00,0.00,1080.00,2022
