ISTAT,Provincia,Comune,CC,Titolare,Indirizzo,Settore_merc_non_alim,Sup_alimentari,Sup_non_alimentari,Sup_Totale,Anno
108054,MB,Lentate sul Seveso,NO,DIOTTI A &  F,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2005
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2005
108054,MB,Lentate sul Seveso,NO,DIOTTI A &  F,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2006
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2006
108054,MB,Lentate sul Seveso,NO,DIOTTI A &  F,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2007
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2007
108054,MB,Lentate sul Seveso,NO,DIOTTI A &  F,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2008
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2008
108054,MB,Lentate sul Seveso,NO,DIOTTI A &  F,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2009
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2009
108054,MB,Lentate sul Seveso,NO,DIOTTI A &  F,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2010
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2010
108054,MB,Lentate sul Seveso,NO,DIOTTI A &  F,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2011
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2011
108054,MB,Lentate sul Seveso,NO,DIOTTI A &  F,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2012
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2012
108054,MB,Lentate sul Seveso,NO,DIOTTI A &  F,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2013
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2013
108054,MB,Lentate sul Seveso,NO,DIOTTI A &  F,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2014
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2014
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2015
108054,MB,Lentate sul Seveso,NO,DIOTTI A &  F,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2015
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2016
108054,MB,Lentate sul Seveso,NO,DIOTTI A &  F,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2016
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2017
108054,MB,Lentate sul Seveso,NO,DIOTTI A &  F,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2017
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2018
108054,MB,Lentate sul Seveso,NO,DIOTTI A &  F,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2018
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2019
108054,MB,Lentate sul Seveso,NO,DIOTTI.COM SRL,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2019
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2020
108054,MB,Lentate sul Seveso,NO,DIOTTI.COM SRL,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2020
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2021
108054,MB,Lentate sul Seveso,NO,DIOTTI.COM SRL,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2021
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2022
108054,MB,Lentate sul Seveso,NO,DIOTTI.COM SRL,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2022
108054,MB,Lentate sul Seveso,SI,BENNET SPA,VIA NAZIONALE DEI GIOVI 249,,2783.00,6827.00,9610.00,2023
